Manufacturer,NEG Micon
Model,NM60/1000
Capacity,1000
Usage,Onshore
HubHeight,"70,80"
RotorDiameter,60
Power curve,
windspeed(m/s),power(kW)
3.5,0
4,30
4.5,57.5
5,86.6
5.5,122.9
6,159.87
6.5,198
7,239.6
7.5,300
8,368.75
8.5,442.5
9,516.15
9.5,589.95
10,649.27
10.5,694
11,738.73
11.5,783
12,827
12.5,882.5
13,932.75
13.5,963
14,986.5
14.5,992.5
15,998
15.5,1003.5
16,1009
16.5,1005.5
17,1000
17.5,991.75
18,981.5
18.5,968.67
19,955.83
19.5,947
20,941.5
20.5,927.85
21,913
21.5,894.85
22,876.2
22.5,855.3
23,839.07
23.5,830.27
24,822.2
24.5,810
25,796.25
